mf,ppm,unsat
C17H16F8S4,-3.7393,6.0
C29H10FN2PS2,-3.7496,26.0
C24H17FO3S4,3.7532,16.0
C18H11F4KNO9,-3.7589,11.5
C9H15F11N3P2S2,-3.7635,-0.5
C24H11F2KN2O4S,3.7719,19.0
C12H11F14OPS,3.7755,1.0
C21H14N3O6S3,3.7863,16.5
C24H18KN2PS3,-3.8002000000000002,17.0
C10H16F6N2O8P2S,-3.8018,2.0
C9H8F13N3O4P,3.8085999999999998,1.5
C13H18F8O3P2S2,3.811,2.0
C13H24F3KO6S4,3.8177,0.0
C20H14F4N3S4,-3.8212,13.5
C29H3F3N2O4,3.8225000000000002,28.0
C29H4F2NO6,-3.8233999999999995,27.5
C9H9F12N2O6P,-3.8372999999999995,1.0
C21H9KN4O9,-3.8409,19.0
C10H15F7N3O6P2S,3.8441,2.5
C10H21F2KN3O9S3,3.8507999999999996,0.5
C18H16F4O6S3,3.8683,9.0
C24H12FKNO6S,-3.8739999999999997,18.5
C18H10F5KN2O7,3.8869,12.0
C9H20F7KN4OS4,3.8890999999999996,-2.0
C15H13F3N3O9S2,3.9013000000000004,9.5
C16H17F3N2O5P2S2,-3.9168000000000003,9.0
